key,en,et
UI_LANGUAGE,Language,Keel
UI_ENGLISH,English,Inglise
UI_ESTONIAN,Estonian,Eesti

UI_SANDBOX,Sandbox,Liivakast
UI_TEST_LESSON,Testing Lesson World (Free of road laws),Testtund (ilma liiklusseadusteta)
UI_LESSON_1,Lesson 1,Õppetund 1
UI_LESSON_2,Lesson 2,Õppetund 2
UI_LESSON_3,Lesson 3,Õppetund 3
UI_LESSON_4,Lesson 4,Õppetund 4
UI_LESSON_5,Lesson 5,Õppetund 5
UI_LESSON_6,Lesson 6,Õppetund 6
UI_LESSON_7,Lesson 7,Õppetund 7
UI_LESSON_8,Lesson 8,Õppetund 8
UI_LESSON_9,Lesson 9,Õppetund 9

UI_START,Start,Alusta
UI_CONTINUE,Continue,Jätka
UI_RETRY,Retry,Proovi uuesti
UI_MENU,Menu,Menüü
UI_MAIN_MENU,Main menu,Peamenüü
UI_RESUME,Resume,Jätka
UI_QUIT,Quit,Välju
UI_BACK,Back,Tagasi

UI_RULE,Rule,Reegel
UI_TASK,Task,Ülesanne
UI_RESULT,Result,Tulemus
UI_FAIL,Mistake,Viga
UI_SUCCESS,Well done!,Tubli!

HUD_KMH,km/h,km/h
HUD_GEAR,Gear,Käik

LESSON_START_BUTTON,Start,Alusta
LESSON_RETRY_BUTTON,Retry,Proovi uuesti
LESSON_MENU_BUTTON,Menu,Menüü

L1_TITLE,L1: No entry,Ü1: Sissesõidu keeld
L1_RULE,The “No entry” sign prohibits continuing in that direction.,Märk „Sissesõidu keeld” keelab selles suunas edasi sõitmise.
L1_TASK,Do not drive into the prohibited road. Choose an allowed direction and reach the green gate.,Ära sõida keelatud teele. Vali lubatud suund ja jõua rohelise väravani.
L1_FAIL,You drove into a prohibited direction. Returning to start.,Sõitsid keelatud suunas. Sind pannakse tagasi algusesse.
L1_SUCCESS,Lesson complete! Return to menu.,Õppetund lõpetatud! Mine menüüsse.

L2_TITLE,L2: Right turn prohibited,Ü2: Parempööre keelatud
L2_RULE,The “Right turn prohibited” sign forbids turning right at that intersection.,Märk „Parempööre keelatud” keelab parempöörde ristmikul, mille ette märk on paigaldatud.
L2_TASK,Do not turn right. Choose an allowed direction and reach the green gate.,Ristmikul ära pööra paremale. Vali lubatud suund ja jõua rohelise väravani.
L2_FAIL,You made a prohibited right turn. Returning to start.,Tegid keelatud parempöörde. Sind pannakse tagasi algusesse.
L2_SUCCESS,Lesson complete! Return to menu.,Õppetund lõpetatud! Mine menüüsse.

L3_TITLE,L3: STOP,L3: STOP
L3_RULE,The STOP sign requires a complete stop before the stop line (or the intersection edge) and yielding if needed.,STOP-märk kohustab juhti peatuma täielikult enne stoppjoont või ristmiku äärt ning andma teed.
L3_TASK,Come to a complete stop (0 km/h) for at least 1 second, then continue to the gate.,Peatu täielikult (0 km/h) vähemalt 1 sekund ja alles siis jätka sõitu väravani.
